month,category,emotion_raw,weight_sum,prop
9,Cognitive,realization,0.48505950370648254,0.08173543076993109
9,Cognitive,surprise,0.07827604934573174,0.013189983008998533
9,Fear,embarrassment,0.07295950191716354,0.012294112933343352
9,Fear,fear,0.13045876007527113,0.021983082221837657
9,Fear,nervousness,0.3623292262976368,0.061054644153295035
9,Joy,amusement,0.2786402093091359,0.046952543685212234
9,Joy,caring,0.1319458892568946,0.022233672393438708
9,Joy,desire,0.25076266285032034,0.042255010184252595
9,Joy,excitement,0.8204600138124079,0.1382524250035935
9,Sadness,disappointment,0.10072285938076676,0.016972404904879182
9,Sadness,grief,0.11653364822268486,0.01963661749515262
9,Sadness,remorse,0.0786823108792305,0.01325844050996911
9,Sadness,sadness,0.2296334858983755,0.03869461735247674
10,Anger,annoyance,0.09663017621884744,0.016615245105162248
10,Cognitive,confusion,1.3165203793462188,0.226371405338616
10,Cognitive,curiosity,0.9119883311123019,0.15681343289864796
10,Cognitive,realization,0.5294729003217071,0.09104114635434567
10,Cognitive,surprise,0.6615409913418249,0.11374982586560307
10,Fear,fear,0.18358174711465836,0.0315662854451984
10,Fear,nervousness,0.5088168179111866,0.08748940004079307
10,Joy,approval,0.060736384242773056,0.01044342409879779
10,Joy,caring,0.4242457613123186,0.07294768140612638
10,Joy,desire,0.1318564349785447,0.02267228594201916
10,Joy,excitement,0.8384083664716792,0.14416159684523647
10,Sadness,disappointment,0.1519555915147066,0.02612827065945381
11,Anger,annoyance,0.18779324033918482,0.033047569706441786
11,Cognitive,confusion,1.5923277971822591,0.28021543149178735
11,Cognitive,curiosity,0.6677676313246289,0.11751273530425087
11,Cognitive,realization,0.5144720495279346,0.09053601124343957
11,Cognitive,surprise,0.4765673138600375,0.0838655933310239
11,Fear,nervousness,0.14946210694809753,0.026302114969195014
11,Joy,approval,0.0808129779373606,0.014221345330355885
11,Joy,caring,0.15229869335889817,0.026801293144990725
11,Joy,desire,0.28914655186235905,0.05088357179837602
11,Joy,excitement,0.66859834316364,0.11765892271417094
11,Joy,relief,0.08043977292254567,0.014155669277694918
11,Sadness,disappointment,0.2545330316992477,0.044792337000415794
11,Sadness,grief,0.08555295206606388,0.01505547879086877
11,Sadness,remorse,0.20018065348267555,0.0352274878898791
11,Sadness,sadness,0.28255975916981696,0.049724438007109066
12,Anger,annoyance,0.12229262168208758,0.01965215400720715
12,Anger,disapproval,0.12978604435920715,0.020856330469092764
12,Anger,disgust,0.15721037052571774,0.025263359069470602
12,Cognitive,confusion,1.1232530716242213,0.18050428594140563
12,Cognitive,curiosity,0.664337408751072,0.10675755323542367
12,Cognitive,realization,0.6623568777091705,0.10643928627445622
12,Cognitive,surprise,0.24750287036101026,0.03977316422412451
12,Fear,fear,0.4331555354098479,0.06960713715891687
12,Fear,nervousness,0.5552549436688423,0.08922824219608265
12,Joy,caring,0.368563927244395,0.059227408490244576
12,Joy,desire,0.7079644175246357,0.11376831711879729
12,Joy,excitement,0.562273112187783,0.09035604636517879
12,Sadness,remorse,0.3139521945267916,0.05045142374803526
12,Sadness,sadness,0.17495755072344432,0.028115291701563853
